"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M6A 24xlarge","m6a.24xlarge","384.0 GiB","0 units","96 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","37.5 Gigabit","20000.0 Mbps","2500.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.1472 hourly","$2.74337 hourly","$1.713900 hourly","$2.241500 hourly","$4.2772 hourly","$2.87337 hourly","$1.843900 hourly","$2.371500 hourly","$4.2972 hourly","$2.80337 hourly","$1.863900 hourly","$2.391500 hourly","$8.5632 hourly","$7.15937 hourly","$6.129900 hourly","$6.129900 hourly","$10.1856 hourly","$8.78177 hourly","$20.0832 hourly","$18.67937 hourly","$44.5632 hourly","$43.15937 hourly","$5.7696 hourly","$4.36577 hourly","$15.6672 hourly","$14.26337 hourly","$40.1472 hourly","$38.74337 hourly","0","unavailable"
"M5DN Extra Large","m5dn.xlarge","16.0 GiB","0 units","4 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","150 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.272 hourly","$0.171 hourly","$0.075300 hourly","$0.104600 hourly","$0.332 hourly","$0.231 hourly","$0.135300 hourly","$0.164600 hourly","unavailable","unavailable","$0.200300 hourly","$0.229600 hourly","$0.456 hourly","$0.355 hourly","$0.252000 hourly","$0.252000 hourly","$0.524 hourly","$0.423 hourly","$0.936 hourly","$0.835 hourly","$1.956 hourly","$1.855 hourly","$0.34 hourly","$0.239 hourly","$0.752 hourly","$0.651 hourly","$1.772 hourly","$1.671 hourly","0","unavailable"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12.5 Gigabit","6666.664 Mbps","833.333 Mbps","26667.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.224 hourly","$0.80968 hourly","$0.544100 hourly","$0.544100 hourly","$1.354 hourly","$0.93968 hourly","$0.674100 hourly","$0.674100 hourly","$1.374 hourly","$0.86968 hourly","$0.694100 hourly","$0.694100 hourly","$2.696 hourly","$2.28168 hourly","$2.016100 hourly","$2.016100 hourly","$3.2368 hourly","$2.82248 hourly","$6.536 hourly","$6.12168 hourly","$14.696 hourly","$14.28168 hourly","$1.7648 hourly","$1.35048 hourly","$5.064 hourly","$4.64968 hourly","$13.224 hourly","$12.80968 hourly","0","unavailable"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","1","NVIDIA A10G","24 GiB","7.5","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","1900 GB                 NVMe SSD","Yes","Yes","64-bit","25 Gigabit","16000.0 Mbps","2000.0 Mbps","65000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.096 hourly","$2.58048 hourly","$1.228800 hourly","$1.301100 hourly","$4.261 hourly","$2.74248 hourly","$1.358800 hourly","$1.431100 hourly","$4.246 hourly","$2.64048 hourly","$1.378800 hourly","$1.451100 hourly","$7.04 hourly","$5.52448 hourly","$4.172800 hourly","$4.172800 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","0 units","64 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","2400 GB                 (4 * 600 GB NVMe SSD)","Yes","Yes","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.192 hourly","$2.641 hourly","$1.140000 hourly","$2.431700 hourly","$4.322 hourly","$2.771 hourly","$1.270000 hourly","$2.561700 hourly","$4.342 hourly","$2.701 hourly","$1.290000 hourly","$2.581700 hourly","$7.136 hourly","$5.585 hourly","$4.084000 hourly","$4.084000 hourly","$8.218 hourly","$6.667 hourly","$14.816 hourly","$13.265 hourly","$31.136 hourly","$29.585 hourly","$5.274 hourly","$3.723 hourly","$11.872 hourly","$10.321 hourly","$28.192 hourly","$26.641 hourly","0","unavailable"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.344 hourly","$0.217 hourly","$0.182300 hourly","$0.216900 hourly","$0.474 hourly","$0.347 hourly","$0.312300 hourly","$0.346900 hourly","$0.494 hourly","$0.277 hourly","$0.332300 hourly","$0.366900 hourly","$0.712 hourly","$0.585 hourly","$0.504000 hourly","$0.504000 hourly","$0.847 hourly","$0.72 hourly","$1.672 hourly","$1.545 hourly","$3.712 hourly","$3.585 hourly","$0.479 hourly","$0.352 hourly","$1.304 hourly","$1.177 hourly","$3.344 hourly","$3.217 hourly","0","$0.086 hourly"
"M5N Metal","m5n.metal","384.0 GiB","0 units","96 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$5.712 hourly","$3.599 hourly","$1.821200 hourly","$5.712000 hourly","$5.877 hourly","$3.761 hourly","$1.951200 hourly","$5.842000 hourly","$5.862 hourly","$3.659 hourly","$1.971200 hourly","$5.862000 hourly","$10.128 hourly","$8.015 hourly","$6.048300 hourly","$10.128000 hourly","$11.75 hourly","$9.637 hourly","$21.648 hourly","$19.535 hourly","$46.128 hourly","$44.015 hourly","$7.334 hourly","$5.221 hourly","$17.232 hourly","$15.119 hourly","$41.712 hourly","$39.599 hourly","0","unavailable"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","300 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.412 hourly","$0.26 hourly","$0.209800 hourly","$0.322600 hourly","$0.577 hourly","$0.422 hourly","$0.339800 hourly","$0.452600 hourly","$0.562 hourly","$0.32 hourly","$0.359800 hourly","$0.472600 hourly","$0.78 hourly","$0.628 hourly","$0.504000 hourly","$0.504000 hourly","$0.915 hourly","$0.763 hourly","$1.74 hourly","$1.588 hourly","$3.78 hourly","$3.628 hourly","$0.547 hourly","$0.395 hourly","$1.372 hourly","$1.22 hourly","$3.412 hourly","$3.26 hourly","0","unavailable"
"R5B Extra Large","r5b.xlarge","32.0 GiB","0 units","4 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","10000.0 Mbps","1250.0 Mbps","43333.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.298 hourly","$0.18774 hourly","$0.073100 hourly","$0.099100 hourly","$0.358 hourly","$0.24774 hourly","$0.133100 hourly","$0.159100 hourly","$0.423 hourly","$0.23774 hourly","$0.198100 hourly","$0.224100 hourly","$0.482 hourly","$0.37174 hourly","$0.255300 hourly","$0.255300 hourly","$0.5496 hourly","$0.43934 hourly","$0.962 hourly","$0.85174 hourly","$1.982 hourly","$1.87174 hourly","$0.3656 hourly","$0.25534 hourly","$0.778 hourly","$0.66774 hourly","$1.798 hourly","$1.68774 hourly","0","unavailable"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","0 units","48 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","50 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$3.576 hourly","$2.253 hourly","$2.091500 hourly","$2.257800 hourly","$3.741 hourly","$2.415 hourly","$2.221500 hourly","$2.387800 hourly","$3.726 hourly","$2.313 hourly","$2.241500 hourly","$2.407800 hourly","$5.784 hourly","$4.461 hourly","$3.063000 hourly","$3.063000 hourly","$6.595 hourly","$5.272 hourly","$11.544 hourly","$10.221 hourly","$23.784 hourly","$22.461 hourly","$4.387 hourly","$3.064 hourly","$9.336 hourly","$8.013 hourly","$21.576 hourly","$20.253 hourly","0","unavailable"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","27 units","8 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.375 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","1600 GB                 (2 * 800 GB SSD)","Yes","Yes","64-bit","High","1000.0 Mbps","125.0 Mbps","8000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az6","$1.705 hourly","$0.848 hourly","$0.511500 hourly","$0.511500 hourly","$1.835 hourly","$0.978 hourly","$0.641500 hourly","$0.641500 hourly","$1.805 hourly","$0.884 hourly","$0.611500 hourly","$0.611500 hourly","$1.946 hourly","$1.131 hourly","$0.752500 hourly","$0.752500 hourly","$1.986 hourly","$1.155 hourly","$2.459 hourly","$1.536 hourly","$5.073 hourly","$4.218 hourly","$1.841 hourly","$0.897 hourly","$2.666 hourly","$1.722 hourly","$4.706 hourly","$3.762 hourly","$0.05 hourly","$0.270 hourly"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","0 units","4 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","150 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.262 hourly","$0.165 hourly","$0.078300 hourly","$0.087000 hourly","$0.322 hourly","$0.225 hourly","$0.138300 hourly","$0.147000 hourly","$0.387 hourly","$0.215 hourly","$0.203300 hourly","$0.212000 hourly","$0.446 hourly","$0.349 hourly","$0.255300 hourly","$0.255300 hourly","$0.514 hourly","$0.417 hourly","$0.926 hourly","$0.829 hourly","$1.946 hourly","$1.849 hourly","$0.33 hourly","$0.233 hourly","$0.742 hourly","$0.645 hourly","$1.762 hourly","$1.665 hourly","0","unavailable"
"G3S Extra Large","g3s.xlarge","30.5 GiB","13 units","4 vCPUs","7.62 GiB/vCPU","1","NVIDIA Tesla M60","8 GiB","5.2","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 Mbps","5000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","use1-az2, use1-az3, use1-az4, use1-az6","$0.75 hourly","$0.551 hourly","$0.225000 hourly","$0.225000 hourly","$0.81 hourly","$0.611 hourly","$0.285000 hourly","$0.285000 hourly","$0.875 hourly","$0.601 hourly","$0.350000 hourly","$0.350000 hourly","$0.934 hourly","$0.735 hourly","$0.409000 hourly","$0.409000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.188 hourly"
"R5N Extra Large","r5n.xlarge","32.0 GiB","0 units","4 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","15000.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.298 hourly","$0.188 hourly","$0.073000 hourly","$0.115500 hourly","$0.358 hourly","$0.248 hourly","$0.133000 hourly","$0.175500 hourly","$0.423 hourly","$0.238 hourly","$0.198000 hourly","$0.240500 hourly","$0.482 hourly","$0.372 hourly","$0.255300 hourly","$0.255300 hourly","$0.55 hourly","$0.439 hourly","$0.962 hourly","$0.852 hourly","$1.982 hourly","$1.872 hourly","$0.366 hourly","$0.255 hourly","$0.778 hourly","$0.668 hourly","$1.798 hourly","$1.688 hourly","0","unavailable"
"C5AD Extra Large","c5ad.xlarge","8.0 GiB","0 units","4 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","150 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.172 hourly","$0.108 hourly","$0.071100 hourly","$0.076600 hourly","$0.267 hourly","$0.2 hourly","$0.131100 hourly","$0.136600 hourly","$0.297 hourly","$0.158 hourly","$0.196100 hourly","$0.201600 hourly","$0.356 hourly","$0.292 hourly","$0.248800 hourly","$0.248800 hourly","$0.424 hourly","$0.36 hourly","$0.836 hourly","$0.772 hourly","$1.856 hourly","$1.792 hourly","$0.24 hourly","$0.176 hourly","$0.652 hourly","$0.588 hourly","$1.672 hourly","$1.608 hourly","0","unavailable"
"R5DN Extra Large","r5dn.xlarge","32.0 GiB","0 units","4 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","150 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.334 hourly","$0.21 hourly","$0.071500 hourly","$0.092900 hourly","$0.429 hourly","$0.30242 hourly","$0.131500 hourly","$0.152900 hourly","unavailable","unavailable","$0.196500 hourly","$0.217900 hourly","$0.518 hourly","$0.394 hourly","$0.255300 hourly","$0.255300 hourly","$0.586 hourly","$0.462 hourly","$0.998 hourly","$0.874 hourly","$2.018 hourly","$1.894 hourly","$0.402 hourly","$0.278 hourly","$0.814 hourly","$0.69 hourly","$1.834 hourly","$1.71 hourly","0","unavailable"
"C6A Quadruple Extra Large","c6a.4xlarge","32.0 GiB","0 units","16 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","6666.664 Mbps","833.333 Mbps","26667.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.612 hourly","$0.40484 hourly","$0.272100 hourly","$0.272100 hourly","$0.777 hourly","$0.56684 hourly","$0.402100 hourly","$0.402100 hourly","$0.762 hourly","$0.46484 hourly","$0.422100 hourly","$0.422100 hourly","$1.348 hourly","$1.14084 hourly","$1.008100 hourly","$1.008100 hourly","$1.6184 hourly","$1.41124 hourly","$3.268 hourly","$3.06084 hourly","$7.348 hourly","$7.14084 hourly","$0.8824 hourly","$0.67524 hourly","$2.532 hourly","$2.32484 hourly","$6.612 hourly","$6.40484 hourly","0","unavailable"
"IS4GEN Eight Extra Large","is4gen.8xlarge","192.0 GiB","0 units","32 vCPUs","6.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","30000 GB                 (4 * 7500 GB NVMe SSD)","Yes","Yes","64-bit","50 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$4.6104 hourly","$3.14446 hourly","$1.383100 hourly","$1.383100 hourly","$4.7404 hourly","$3.27446 hourly","$1.513100 hourly","$1.513100 hourly","$4.7604 hourly","$3.20446 hourly","$1.533100 hourly","$1.533100 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"I2 Extra Large","i2.xlarge","30.5 GiB","14 units","4 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","800 GB                 SSD","Yes","Yes","64-bit","Moderate","500.0 Mbps","62.5 Mbps","4000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az6","$0.853 hourly","$0.424 hourly","$0.255900 hourly","$0.265900 hourly","$0.948 hourly","$0.473 hourly","$0.315900 hourly","$0.325900 hourly","$0.953 hourly","$0.46 hourly","$0.355900 hourly","$0.365900 hourly","$0.973 hourly","$0.565 hourly","$0.375900 hourly","$0.375900 hourly","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$2.537 hourly","$2.108 hourly","$0.921 hourly","$0.449 hourly","$1.333 hourly","$0.861 hourly","$2.353 hourly","$1.881 hourly","$0.02 hourly","$0.213 hourly"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","75 Gigabit","13600.0 Mbps","1700.0 Mbps","60000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$3.808 hourly","$2.399 hourly","$2.098500 hourly","$2.482500 hourly","$3.938 hourly","$2.529 hourly","$2.228500 hourly","$2.612500 hourly","unavailable","unavailable","$2.248500 hourly","$2.632500 hourly","$6.752 hourly","$5.343 hourly","$4.433400 hourly","$4.803600 hourly","$7.834 hourly","$6.425 hourly","$14.432 hourly","$13.023 hourly","$30.752 hourly","$29.343 hourly","$4.89 hourly","$3.481 hourly","$11.488 hourly","$10.079 hourly","$27.808 hourly","$26.399 hourly","0","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Burstable","1 vCPUs","1.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 Mbps","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0116 hourly","$0.0072 hourly","$0.003500 hourly","$0.003500 hourly","$0.0716 hourly","$0.0672 hourly","$0.063500 hourly","$0.063500 hourly","$0.0216 hourly","$0.0162 hourly","$0.013500 hourly","$0.013500 hourly","$0.0162 hourly","$0.0118 hourly","$0.008100 hourly","$0.008100 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
